"trida";"paragraf";"skupina";"oddil";"pododdil";"esif";"obdobi";"paragraf_nazev";"vykaz_date";"vykaz_year";"spending";"source"
"Běžné výdaje";"1012";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Podnikání a restrukturalizace v zemědělství a potravinářství";"2016-12-31";"2016";"28493498566,909999847412109375000000000";"vlastní"
"Běžné výdaje";"1012";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Podnikání a restrukturalizace v zemědělství a potravinářství";"2017-12-31";"2017";"23414996159,130001068115234375000000000";"vlastní"
"Běžné výdaje";"1012";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Podnikání a restrukturalizace v zemědělství a potravinářství";"2018-12-31";"2018";"23452423844,979999542236328125000000000";"vlastní"
"Běžné výdaje";"1012";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Podnikání a restrukturalizace v zemědělství a potravinářství";"2019-12-31";"2019";"24547639108,040000915527343750000000000";"vlastní"
"Běžné výdaje";"1012";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Podnikání a restrukturalizace v zemědělství a potravinářství";"2020-12-31";"2020";"26280976115,520000457763671875000000000";"vlastní"
"Běžné výdaje";"1013";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Genetický potenciál hospodářských zvířat, osiv a sádí";"2015-12-31";"2015";"364171699,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1013";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Genetický potenciál hospodářských zvířat, osiv a sádí";"2016-12-31";"2016";"337494803,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1013";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Genetický potenciál hospodářských zvířat, osiv a sádí";"2017-12-31";"2017";"339715832,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1013";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Genetický potenciál hospodářských zvířat, osiv a sádí";"2018-12-31";"2018";"349164987,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1013";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Genetický potenciál hospodářských zvířat, osiv a sádí";"2019-12-31";"2019";"363049486,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1013";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Genetický potenciál hospodářských zvířat, osiv a sádí";"2020-12-31";"2020";"320500000,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1014";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Ozdravování hospodářských zvířat, polních a speciálních plodin a zvláštní veterinární péče";"2015-12-31";"2015";"1388363062,500000000000000000000000000";"vlastní"
"Běžné výdaje";"1014";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Ozdravování hospodářských zvířat, polních a speciálních plodin a zvláštní veterinární péče";"2016-12-31";"2016";"1650715523,700000047683715820312500000";"vlastní"
"Běžné výdaje";"1014";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Ozdravování hospodářských zvířat, polních a speciálních plodin a zvláštní veterinární péče";"2017-12-31";"2017";"1935068559,599999904632568359375000000";"vlastní"
"Běžné výdaje";"1014";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Ozdravování hospodářských zvířat, polních a speciálních plodin a zvláštní veterinární péče";"2018-12-31";"2018";"2495770947,840000152587890625000000000";"vlastní"
"Běžné výdaje";"1014";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Ozdravování hospodářských zvířat, polních a speciálních plodin a zvláštní veterinární péče";"2019-12-31";"2019";"2645202416,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1014";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Ozdravování hospodářských zvířat, polních a speciálních plodin a zvláštní veterinární péče";"2020-12-31";"2020";"2509777668,429999828338623046875000000";"vlastní"
"Běžné výdaje";"1019";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Ostatní zemědělská a potravinářská činnost a rozvoj";"2015-12-31";"2015";"167624055,460000008344650268554687500";"vlastní"
"Běžné výdaje";"1019";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Ostatní zemědělská a potravinářská činnost a rozvoj";"2016-12-31";"2016";"422341298,699999988079071044921875000";"vlastní"
"Běžné výdaje";"1019";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Ostatní zemědělská a potravinářská činnost a rozvoj";"2017-12-31";"2017";"284590587,079999983310699462890625000";"vlastní"
"Běžné výdaje";"1019";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Ostatní zemědělská a potravinářská činnost a rozvoj";"2018-12-31";"2018";"776920708,840000033378601074218750000";"vlastní"
"Běžné výdaje";"1019";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Ostatní zemědělská a potravinářská činnost a rozvoj";"2019-12-31";"2019";"457791954,430000007152557373046875000";"vlastní"
"Běžné výdaje";"1019";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Ostatní zemědělská a potravinářská činnost a rozvoj";"2020-12-31";"2020";"448742189,949999988079071044921875000";"vlastní"
"Běžné výdaje";"1024";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Regulace zemědělské produkce, organizace trhu a poskytování podpor";FALSE;NA;"Organizace trhu s výrobky vzniklými zpracováním produktů živočišné výroby";"2015-12-31";"2015";"431761024,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1024";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Regulace zemědělské produkce, organizace trhu a poskytování podpor";FALSE;NA;"Organizace trhu s výrobky vzniklými zpracováním produktů živočišné výroby";"2016-12-31";"2016";"1727961175,390000104904174804687500000";"vlastní"
"Běžné výdaje";"1024";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Regulace zemědělské produkce, organizace trhu a poskytování podpor";FALSE;NA;"Organizace trhu s výrobky vzniklými zpracováním produktů živočišné výroby";"2017-12-31";"2017";"726022290,159999966621398925781250000";"vlastní"
"Běžné výdaje";"1024";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Regulace zemědělské produkce, organizace trhu a poskytování podpor";FALSE;NA;"Organizace trhu s výrobky vzniklými zpracováním produktů živočišné výroby";"2018-12-31";"2018";"975672739,310000061988830566406250000";"vlastní"
"Běžné výdaje";"1024";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Regulace zemědělské produkce, organizace trhu a poskytování podpor";FALSE;NA;"Organizace trhu s výrobky vzniklými zpracováním produktů živočišné výroby";"2019-12-31";"2019";"900926131,759999990463256835937500000";"vlastní"
"Běžné výdaje";"1024";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Regulace zemědělské produkce, organizace trhu a poskytování podpor";FALSE;NA;"Organizace trhu s výrobky vzniklými zpracováním produktů živočišné výroby";"2020-12-31";"2020";"874499655,350000023841857910156250000";"vlastní"
"Běžné výdaje";"1029";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Regulace zemědělské produkce, organizace trhu a poskytování podpor";FALSE;NA;"Ostatní záležitosti regulace zemědělské produkce, organizace zemědělského trhu a poskytování podpor";"2015-12-31";"2015";"1292470000,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1029";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Regulace zemědělské produkce, organizace trhu a poskytování podpor";FALSE;NA;"Ostatní záležitosti regulace zemědělské produkce, organizace zemědělského trhu a poskytování podpor";"2016-12-31";"2016";"821800000,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1029";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Regulace zemědělské produkce, organizace trhu a poskytování podpor";FALSE;NA;"Ostatní záležitosti regulace zemědělské produkce, organizace zemědělského trhu a poskytování podpor";"2017-12-31";"2017";"1520350000,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1029";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Regulace zemědělské produkce, organizace trhu a poskytování podpor";FALSE;NA;"Ostatní záležitosti regulace zemědělské produkce, organizace zemědělského trhu a poskytování podpor";"2018-12-31";"2018";"1801050000,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1029";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Regulace zemědělské produkce, organizace trhu a poskytování podpor";FALSE;NA;"Ostatní záležitosti regulace zemědělské produkce, organizace zemědělského trhu a poskytování podpor";"2019-12-31";"2019";"1695502000,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1029";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Regulace zemědělské produkce, organizace trhu a poskytování podpor";FALSE;NA;"Ostatní záležitosti regulace zemědělské produkce, organizace zemědělského trhu a poskytování podpor";"2020-12-31";"2020";"1895068715,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1031";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";FALSE;NA;"Pěstební činnost";"2015-12-31";"2015";"33722278,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1031";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";FALSE;NA;"Pěstební činnost";"2016-12-31";"2016";"47114841,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1031";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";FALSE;NA;"Pěstební činnost";"2017-12-31";"2017";"276446160,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1031";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";FALSE;NA;"Pěstební činnost";"2018-12-31";"2018";"310107130,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1031";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";FALSE;NA;"Pěstební činnost";"2019-12-31";"2019";"569094318,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1031";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";FALSE;NA;"Pěstební činnost";"2020-12-31";"2020";"809748111,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1032";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";FALSE;NA;"Podpora ostatních produkčních činností";"2015-12-31";"2015";"16307595,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1032";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";FALSE;NA;"Podpora ostatních produkčních činností";"2016-12-31";"2016";"20832794,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1032";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";FALSE;NA;"Podpora ostatních produkčních činností";"2017-12-31";"2017";"43145775,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1032";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";FALSE;NA;"Podpora ostatních produkčních činností";"2018-12-31";"2018";"56588594,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1032";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";FALSE;NA;"Podpora ostatních produkčních činností";"2019-12-31";"2019";"92407168,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1032";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";FALSE;NA;"Podpora ostatních produkčních činností";"2020-12-31";"2020";"168324811,000000000000000000000000000";"vlastní"
